day;month;sunrise;sunset
1;1;08:40:07;16:11:38
2;1;08:39:54;16:12:48
3;1;08:39:37;16:14:01
4;1;08:39:17;16:15:16
5;1;08:38:53;16:16:35
6;1;08:38:26;16:17:56
7;1;08:37:55;16:19:20
8;1;08:37:20;16:20:47
9;1;08:36:42;16:22:16
10;1;08:36:00;16:23:47
11;1;08:35:15;16:25:20
12;1;08:34:27;16:26:56
13;1;08:33:35;16:28:34
14;1;08:32:40;16:30:13
15;1;08:31:43;16:31:55
16;1;08:30:41;16:33:38
17;1;08:29:37;16:35:22
18;1;08:28:30;16:37:09
19;1;08:27:20;16:38:56
20;1;08:26:07;16:40:46
21;1;08:24:52;16:42:36
22;1;08:23:33;16:44:27
23;1;08:22:12;16:46:20
24;1;08:20:48;16:48:14
25;1;08:19:22;16:50:08
26;1;08:17:54;16:52:04
27;1;08:16:22;16:54:00
28;1;08:14:49;16:55:57
29;1;08:13:13;16:57:55
30;1;08:11:35;16:59:53
31;1;08:09:55;17:01:52
1;2;08:08:13;17:03:51
2;2;08:06:29;17:05:50
3;2;08:04:43;17:07:50
4;2;08:02:55;17:09:50
5;2;08:01:05;17:11:51
6;2;07:59:13;17:13:51
7;2;07:57:20;17:15:52
8;2;07:55:24;17:17:53
9;2;07:53:28;17:19:53
10;2;07:51:29;17:21:54
11;2;07:49:29;17:23:55
12;2;07:47:28;17:25:56
13;2;07:45:25;17:27:56
14;2;07:43:21;17:29:57
15;2;07:41:15;17:31:57
16;2;07:39:09;17:33:58
17;2;07:37:01;17:35:58
18;2;07:34:51;17:37:57
19;2;07:32:41;17:39:57
20;2;07:30:30;17:41:56
21;2;07:28:17;17:43:56
22;2;07:26:04;17:45:54
23;2;07:23:49;17:47:53
24;2;07:21:34;17:49:51
25;2;07:19:17;17:51:49
26;2;07:17:00;17:53:47
27;2;07:14:42;17:55:45
28;2;07:12:23;17:57:42
1;3;07:10:04;17:59:39
2;3;07:07:43;18:01:35
3;3;07:05:23;18:03:32
4;3;07:03:01;18:05:28
5;3;07:00:39;18:07:23
6;3;06:58:16;18:09:19
7;3;06:55:53;18:11:14
8;3;06:53:29;18:13:09
9;3;06:51:05;18:15:03
10;3;06:48:40;18:16:58
11;3;06:46:15;18:18:52
12;3;06:43:50;18:20:46
13;3;06:41:24;18:22:39
14;3;06:38:58;18:24:33
15;3;06:36:31;18:26:26
16;3;06:34:05;18:28:19
17;3;06:31:38;18:30:12
18;3;06:29:11;18:32:04
19;3;06:26:44;18:33:57
20;3;06:24:17;18:35:49
21;3;06:21:49;18:37:41
22;3;06:19:22;18:39:33
23;3;06:16:54;18:41:25
24;3;06:14:27;18:43:17
25;3;06:11:59;18:45:09
26;3;06:09:31;18:47:00
27;3;06:07:04;18:48:52
28;3;07:04:37;19:50:43
29;3;07:02:10;19:52:35
30;3;06:59:43;19:54:26
31;3;06:57:16;19:56:17
1;4;06:54:49;19:58:09
2;4;06:52:23;20:00:00
3;4;06:49:57;20:01:51
4;4;06:47:31;20:03:42
5;4;06:45:06;20:05:33
6;4;06:42:41;20:07:25
7;4;06:40:16;20:09:16
8;4;06:37:52;20:11:07
9;4;06:35:28;20:12:58
10;4;06:33:05;20:14:49
11;4;06:30:42;20:16:41
12;4;06:28:20;20:18:32
13;4;06:25:59;20:20:23
14;4;06:23:38;20:22:14
15;4;06:21:18;20:24:06
16;4;06:18:58;20:25:57
17;4;06:16:40;20:27:48
18;4;06:14:22;20:29:39
19;4;06:12:05;20:31:31
20;4;06:09:48;20:33:22
21;4;06:07:33;20:35:13
22;4;06:05:19;20:37:04
23;4;06:03:05;20:38:55
24;4;06:00:53;20:40:45
25;4;05:58:41;20:42:36
26;4;05:56:31;20:44:27
27;4;05:54:22;20:46:17
28;4;05:52:14;20:48:07
29;4;05:50:07;20:49:57
30;4;05:48:02;20:51:47
1;5;05:45:58;20:53:36
2;5;05:43:55;20:55:25
3;5;05:41:54;20:57:14
4;5;05:39:54;20:59:02
5;5;05:37:56;21:00:50
6;5;05:35:59;21:02:37
7;5;05:34:04;21:04:24
8;5;05:32:11;21:06:10
9;5;05:30:19;21:07:56
10;5;05:28:29;21:09:41
11;5;05:26:41;21:11:25
12;5;05:24:55;21:13:08
13;5;05:23:11;21:14:51
14;5;05:21:28;21:16:32
15;5;05:19:48;21:18:13
16;5;05:18:10;21:19:53
